date,season,opponent,home_score,away_score,attendance,status,game_pk,avg_temp_f,avg_precip_mm
2022-04-14,2022,Atlanta Braves,12,1,44844,Final,662237,61.3,0.0
2022-04-15,2022,Atlanta Braves,2,5,41993,Final,662236,62.6,0.0
2022-04-16,2022,Atlanta Braves,2,5,36924,Final,662235,62.8,0.0
2022-04-17,2022,Atlanta Braves,2,1,37694,Final,662234,62.5,0.0
2022-04-18,2022,Cincinnati Reds,4,1,31121,Final,662233,63.6,0.0
2022-04-19,2022,Cincinnati Reds,6,2,31313,Final,662232,63.2,0.0
2022-04-20,2022,Cincinnati Reds,6,0,25359,Final,662231,62.6,0.0
2022-04-22,2022,Los Angeles Dodgers,1,6,44482,Final,662230,60.1,0.0
2022-04-23,2022,Los Angeles Dodgers,3,2,44444,Final,662276,64.3,0.0
2022-04-24,2022,Los Angeles Dodgers,2,10,44930,Final,662274,73.2,0.0
2022-05-05,2022,Miami Marlins,2,1,31034,Final,662262,65.9,0.0
2022-05-06,2022,Miami Marlins,3,2,37585,Final,662272,64.3,0.0
2022-05-07,2022,Miami Marlins,0,8,34709,Final,662261,64.1,0.0
2022-05-08,2022,Miami Marlins,3,2,37937,Final,662260,61.3,0.0
2022-05-09,2022,Chicago Cubs,0,6,41595,Final,662259,61.5,0.0
2022-05-10,2022,Chicago Cubs,5,4,31047,Final,662258,63.1,0.0
2022-05-11,2022,Chicago Cubs,5,7,29344,Final,662273,62.2,0.0
2022-05-23,2022,Milwaukee Brewers,3,2,31504,Final,662257,61.8,0.0
2022-05-24,2022,Milwaukee Brewers,1,4,39834,Final,662229,63.5,0.0
2022-05-25,2022,Milwaukee Brewers,1,2,27831,Final,662228,64.9,0.0
2022-05-27,2022,Pittsburgh Pirates,4,3,41898,Final,662281,65.3,0.0
2022-05-28,2022,Pittsburgh Pirates,2,4,38189,Final,662280,63.0,0.0
2022-05-29,2022,Pittsburgh Pirates,4,2,44395,Final,662279,64.3,0.0
2022-06-06,2022,New York Mets,5,11,34858,Final,662278,68.2,0.0
2022-06-07,2022,New York Mets,7,0,31796,Final,662277,66.0,0.0
2022-06-08,2022,New York Mets,13,2,40992,Final,662223,66.9,0.0
2022-06-10,2022,Colorado Rockies,9,0,35207,Final,662275,68.6,0.0
2022-06-11,2022,Colorado Rockies,2,6,30040,Final,662222,68.2,0.0
2022-06-11,2022,Colorado Rockies,2,1,31415,Final,662251,68.2,0.0
2022-06-12,2022,Colorado Rockies,2,4,41754,Final,662256,66.4,0.0
2022-06-20,2022,Arizona Diamondbacks,4,1,35430,Final,662221,73.1,0.0
2022-06-21,2022,Arizona Diamondbacks,3,2,31528,Final,662248,69.7,0.0
2022-06-22,2022,Arizona Diamondbacks,10,4,31024,Final,662245,75.8,0.0
2022-06-23,2022,Philadelphia Phillies,2,6,40355,Final,662227,74.5,0.0
2022-06-24,2022,Philadelphia Phillies,1,0,38890,Final,662255,72.8,0.0
2022-06-25,2022,Philadelphia Phillies,2,4,37467,Final,662247,72.5,0.0
